cleaned_text,sentimen
salah satu alasan tagar indonesiagelap ini lho,netral
foto bersama penuh kemesraan antara jokowi prabowo puan maharani dan surabaya berpakaian seragam loreng sementara para mahasiswa dan rakyat sipil sibuk aksi demo indonesiagelap,netral
indonesiagelap ini harus diviralkan sih jangan sampai orangg terlalu fokus sama pertamina danantara,negatif
spesifikasinya sama sama bbm ron di sulap jadi ron pertamina pertamax oplosan indonesiagelap,netral
iya lho baku hantam deh kalian berdua dah bener ini indonesiagelap jangan ditiru ya selamat pagi salam jumat sehat untuk semua para pejuang keluarga,negatif
waktu jadi walikota solo terus pindah ke jakarta jadi insinyur aja yaudah aneh sih menurut saya ini bukan soal teliti dan tidak teliti tapi pembiaran yg dilakukan membuat indonesiagelap,negatif
korupsi di pt angkutan sungai danau dan penyebrangan ferry indonesia mencapai korupsilah selagi sempat hidup jokowi hidup jokowi indonesiagelap,netral
bacot kades kemarin yang presiden aja ga berani nangkap maksudnya bukan dia tapi bohirnya yang presiden ga brani masak pesan sperti itu pada gak ngerti dan terbukti pada ga berani indonesiagelap,negatif
weleeeh jaksa bilang begini dewan bilang begitu hayo saling oplos rakyat nonton pajaknya bayar dagelan ditantang tuh hukum letoy indonesiagelap,negatif
bangsa bangsat indonesiagelap tagar indonesiagelap,negatif
ok gas ok gas situ kan dukung tagar indonesiagelap,netral
sppi gak jelas banget belum perang malah sudah kalah aja panitia gimana sih gak bilang dari awal kalau gak jelas kirain bakal buka lapangan pekerjaan besar besaran yang berkas lengkap dan daftar di awal malah gak lolos indonesiagelap sppi tidak transparansi tidak adil,negatif
pantesan gerakkanya tidak terkontrol mondar mandir yang dipegang cuma susu sambil plenga plenge tagar indonesiagelap tagar fufufafaaibnasional,negatif
mbg makan bau gratis tagar indonesiagelap,netral
spbu kerang rame imbas korupsi di pertamina gokil hampir tembus triliun yah kabarnya sebagai pemakai bahan bakar kerang ini kudu siap ngantri juga salamwaras dari dulu sudah tagar kaburajadulu ke si kerang abis daripada motor gw ikutan tagar indonesiagelap yg ada soak nanti mesinnya,negatif
simpan jangan sampai nguap setelah berhadapan dengan kekuatan besar termasuk csr bi ke sejumlah anggota dpr rusak rusak mereka gak malu bikin indonesiagelap ya kan semangat tantangan makin berat,negatif
bukan tentang panci wajan dan tetek bengek tapi tentang tangga menuju pucuk yang selalu menimbulkan keributan tagar indonesiagelap tagar fufufafaaibnasional,netral
para aparat ini masih stuck di tahun lama kah bener mesti reformasi polri indonesiagelap,negatif
di sini pejabat korup malah dilindungi dan banyak temen syarat sekubu politik kalau seberangan ya sorry yee ndassmu langsung masuk penjara walau gak terbukti kasusnya kayak tl ripdemocrazy tagar indonesiagelap tagar darkindonesia,negatif
masyarakat sudah mulai beralih dari pertamina ke shell bank bumn ke bank swasta telkomsel ke xl saham dalam negeri ke crypto sepertinya prabowo ada benarnya negara ini bubar indonesiagelap,netral
yakin pemerintah nggak tau korupsi pertamina ini jauh hari mobil kepresidenan aja ngisinya di shell kenapa keluarin kartu ini karena hari kerja isinya lawakan makanya dikeluarin berita bagus indonesiagelap,negatif
gw harus gimana ikut demo disemprot water canon sampai gas air mata juga di piting tagar indonesiagelap,negatif
pak ini baru keren pak cintailah produk luar negeri karena produk dalam negeri cuma tipu saja hasil dari kerja tipu bumn cukup rakyat pribumi bodoh miskin yg beli hasil produk tipu nasional indonesiagelap,negatif
kalau bisa buat rakyat susah kenapa tidak tagar indonesiagelap,negatif
sudah kuduga khong guan untouchable tagar indonesiagelap,netral
eta kegelapan indonesiagelap,negatif
benar benar indonesiagelap,negatif
saya kok menyakini kalau patra niaga oplos pertalite jadi pertamax atas perintah mulyono agar dapat dana segar buat pemilu karena duitnya menggiurkan maka diterusin sampai indonesiagelap,positif
macan apa yang tidak berdaya ketika lawan tikus yang jawab benar dapat hadiah emas kg ambil di bank emas indonesia cuma omon omon gampang indonesiagelap,negatif
yah dia terlalu percaya sama orang itu yg jelas pembohong besar tagar indonesiagelap tagar adilijokowihargamati ,negatif
semoga manusia dajjal satu ini segera dihapus keberadaannya di negeri ini agar negeri ini tidak makin rusak akibat kedzaliman sampai keserakahannya aamiin aku berlindung kepada kalimat allah yang sempurna dari kejahatan makhluk ciptaannya hari ahmad indonesiagelap tagar adilijokowimeluas,negatif
simpan emas di pemerintah itu antara terlalu kaya atau terlalu tolol indonesiagelap,negatif
inimah betulan indonesiagelap,netral
lapangan pekerjaan untuk sanak famili handai taulan para pejabat indonesia indonesiagelap,netral
ngeri negeriku dikuasai mafia dan maling koruptor sudah seperti menjadi profesi silahkan rakyat menentukan pilihan indonesiagelap,negatif
oppung batak luhut ini gak percaya indonesiagelap padahal otak kotor nya yang buat negeri ini gelap,negatif
indonesiagelap rakyat udah capek mau teriak teriak jg percuma,negatif
negara udah hilang rasa malunya negara rusak dibuat mulyono dan anteknya ini ada lurah berpesta pora puluhan mikyar klian jangan diam saja adilijokowi indonesiagelap,negatif
pertamax oplosan pertamina korupsi pertamina pertamax pertalite kejaksaan agung polri kpk prabowo presiden ri bbm humas kpk humas kejagung indonesiagelap korupsi,netral
hai hari ini sudah tanggal sudahkah menarik seluruh uangmu dari bank bumn aku sudah dong indonesiagelap,netral
pertamax oplosan pertamina korupsi pertamina pertamax pertalite kejaksaan agung polri kpk prabowo presiden ri bbm humas kpk humas kejagung indonesiagelap korupsi,netral
mereka yang mendukung pemerintah sudah menyarankan agar mereka yang melawan menyerah dengan pemerintahan ini padahal surat cinta ini belum dibaca sampai habis indonesiagelap ini baru judul belum isi apalagi kesimpulan,negatif
negara ini bener endasmu sdh kacau kaburajadulu indonesiagelap dan lagu bayar bayar bayar dibungkam secara halus tap terangan oleh seorang wamen dan pejabat tinggi berkelas baru hari lebih sudahh rame di jalan yang antri gas dan demi ini negeri bener endasmu,negatif
mereka ini bukan sibuk mikirin rakyat tapi sibuk mikirin kekuasaan kedepannya rakus kekuasaan nikmat kekuasaan mabok kekuasaan gak heran kalo diburu dgn segala cara tagar adilijokowi tagar indonesiagelap,negatif
preman preman bedebah berlindung dibalik nama ormas biar lebih terlegitimasi kelakuannya padahal ya tetep aja mereka tukang palak sampai tukang meres indonesiagelap,negatif
sepiring nasi diberi satai sering dikorupsi negeri terantai sepiring nasi segera dimakan sering dikorupsi negara tertekan masihkah indonesiagelap,negatif
negara ini semakin endasmu kata pemimpin kita kaburajadulu di respon seorang wamen kabur aja gak usah balik lagi itu kata seorang wamen dan muncul lagi indonesiagelap dijawab oleh pejabat yang berinisial lbp merasa super power yang gelap itu dirimu ini pembungkaman,negatif
keanehan negara konoha terjadi di kerajaan raja jawa mulyono seorang kades pesta pora berharta puluhan milyar sangat sangat memalukan nih seorang lurah wajarkah anda diam saja adilijokowi indonesiagelap pertamax pertalite,negatif
kata manusia yg sekarang anaknya jadi wapres indonesiagelap,negatif
tercatat ada sekitar data karyawan pt sritex yang terkena phk setelah karyawan di phk urusan gaji dan pesangon menjadi tanggung jawab kurator sementara untuk jaminan hari tua menjadi kewenangan bpjs ketenagakerjaan indonesiagelap,netral
sendiri kita dapat melakukan begitu sedikit bersama kita dapat melakukan begitu banyak semangat walau kebijakan lebih banyak merampok bukan untuk mensejahterakan seperti amanat uud melawan atau mati perlahan indonesiagelap,negatif
kenapa ga nanam mangrove ini mah mau merusak alam dengan proyek tanggul laut indonesiagelap,negatif
indonesiagelap ternyata yang suka teriak mau mengejar koruptor sampai antartika dan gurun pasir terjauh buta matanya dalam melihat kelakuan korup yang didepan matanya,negatif
juri kompetisi juri penilai negeri dikorupsi negeri terkulai masihkah indonesiagelap,negatif
saya tau imbasnya indonesiagelap makanya akan ada narasi pembelaan buzzer buzzer sebentar lagi juga akan beraksi,negatif
indonesia sedang tidak baik saja kaburajadulu indonesiagelap,negatif
selidiki tangkap dan adili jika benar adilijokowi fufufafawapresilegal jokowipredatorkorup indonesiagelap dpr ri bumn pertamina pertamax pertalite polda metro jaya kejaksaan ri kejagung koran tempo tvonenews bem si prabowo subianto pdip,netral
berharap indonesia emas tapi prasyarat menjadi indonesia emas jauh panggang dari api kaburajadulu indonesiagelap rakyat revolutionnow,negatif
sedang mengusut mafia bbm eh kilang minyak cilacap dibakar eh kebakaran mksdnya apakah ini kebetulan kabarnya kilang tersebut berisi pertalite apakah akan tegas sampai tuntas selama beririsan dengan mulyono mimpi aja kali ndasmu indonesiagelap lawanajadulu,negatif
asean semoga trending southeastasia bakarsampah kaburajadulu indonesiagelap airpollution jumat polusi udara di sunter selatan kembali meningkat sumber asap berada di ancol pabrik dan pltu tj priok,netral
amit amit cabang bayi dah kalau masih disuruh percaya udah mesin rusak ditipu mentah mentah lagi indonesiagelap,negatif
ini kayanya buzzer deh tolong ini indonesiagelap harusnya bang elon tolong di fix,negatif
perlawanan di bulan ramadhan indonesiagelap tagar indonesiagelap,netral
miris denger lagu ini indonesia tanah air siapa indonesia tanah air para perampok bagi pejabat dan elit indonesia tanah air siapa indonesia tanah air para penguasa yg mementingkan perutnya sendiri indonesia tanah air siapa indonesia yg punya kuasa indonesiagelap,negatif
indonesia semakin dipenuhi oleh sindikat curut indonesiagelap,negatif
memang ganjil sampai absurd apalagi bernuansa politik siapa yang mnjamin tidak akan dikorupsi dengan mengelola asset sampai deviden belas ribu triliun mungkin merasa kuat sampai hebat tapi tunggu tidak lama lagi suatu akan terjadi ndasmu indonesiagelap lawanajadulu,negatif
cintailah produk indonesia udah gak berlaku dulu dana bansos dikorup sekarang di pertamina bensin pertamax dioplos indonesiagelap kayaknya bakal beneran terjadi kalo pada rakus kekuasaan,negatif
akan kah ramadhan ini penuh dengan gegap gempita perlawanan will see semoga tidak menjual prinsip untuk mencari uang thr bahwa sejatinya kepentingan masyarakat yang terzholimi diatas segalanya suara rakyat suara tuhan indonesiagelap indonesiagelap,positif
negeri para bedebah manusia anjing semua yang merampok uang negara sampai menyengsarakan rakyat bener harus revolusi sampai memangkas generasi apalagi setelah muja muji jokowi rakyat tambah muak sampai appatis terhadap propaganda politiknya ndasmu indonesiagelap lawanajadulu,negatif
suka tidak suka ramalan joyo boyo sampai ronggo warsito tahun kepemimpinan the end of the game untuk bisa ke tatanan baru sial nya kebagian huru hara well see siapa yang berselancar siapa yang mempunyai ide dan gagasan brilian indonesiagelap,negatif
keadaan indonesia sekarang jauh lebih baik dari era sebelum jokowi presiden tetapi kaum pecundang yang mentalnya belum siap berdemokrasi yang otaknya dipenuhi kebencian dan iri dengki mendustakan nikmat dan terus menggaungkan indonesiagelap,negatif
menarik di tonton kawan menjadi ingatan akan pentingnya kita terhadap kejanggalan yang di lakukan mereka penghamba dunia dengan segala tipu daya indonesiagelap,negatif
di saat rakyat kecewa terbodohi pertamax oplosan dan masalah ketimpangan lain nya kalian masih bisa bersuka ria bernyanyi bersama saat itu lah cuma ada kata lawan indonesiagelap indonesiagelap,negatif
negeri sudah merdeka indonesiagelap adilijokowi,netral
kalau males juga ya silahkan baru triliun total yang dikorupsi dalam hari kita mah tau gen z seneng aja makanya gak bisa dipercaya indonesiagelap,negatif
orde baru reborn ya tangan besl cc indonesiagelap fufufafaaibnasional,netral
makin kacau aja indonesia ini gue liat liat efisiensi segala penjuru sampai lampu di ruang kelas ga berani dinyalain semua taii taii kasian dosendosen gue btw tapi lebih kasian gue sih lebih kasian lagi emak bapak gue sih indonesiagelap,negatif
lagi atas nama pns tanah rakyat gak diganti perpres reforma agraria yg diteken oleh jokowi lah biang keroknya dan prabowo mau melanjutkan indonesiagelap revolusi solusinya,negatif
gilak babat habis sih oke tapi biang keroknya tetep ada berada sama macan ompong negeri ini sudah merdeka indonesiagelap adilijokowi,negatif
yang ada pembesar itu tidak tersentuh hukum ada uu nya pula makanya jangan puja puji koruptor tingkat dunia kita bisa susah indonesiagelap indonesiagelap,negatif
bahlil dan pertamina tak digubris bikin muak dan emosi spbu shell milik swasta di jakarta surabaya dan daerah lain diserbu pembeli akibat rakyat muak dengan kasus pertamax palsu danantara tidak dipercaya pertamina tidak dipercaya indonesiagelap,negatif
oke gas jogetin aja indonesiagelap,negatif
semoga tidak kena bubar semangat sampai menang indonesiagelap,positif
ahok siap diperiksa anak perusahaan pertamina punya dewan komisaris dekom dan komisaris utama komut sendiri indonesiagelap,netral
jika hanya mendukung omong omong aja bergerak cepat melakukan revisi uu yang berkaitan dengan hukuman mati uu kpk dan perampasan aset pemiskinan dll omong kosong indonesiagelap,negatif
kemarin iklan ai sekarang sampul buku aja pakai ai hadehh indonesiagelap artistbersuara,netral
hey mulyono yang bangsat kau apakan kampungku indonesiagelap tambangnikel negatiftambang tambangmembunuhmu,negatif
ada yg mau ditutupin jangan lengah karena ada isu yang lebih besar indonesiagelap,negatif
lihat ini via indonesiagelap sibayaktoto,netral
political sircus dan rakyat tertawa senang dengan hiburan yang dipertunjukkan lupa akan lapar dan masalah mereka indonesiagelap terusberisik lawanajadulu daruratindonesia revolusisampaiberhasil tolakdanantara shameonuprabowo adilijokowihargamati gibrankangsusu,netral
terus bisa juga tambah kolom berapa tilepan koruptor di negeri lain seperti cina dan apa hukumannya mungkin saat itu baru percaya indonesiagelap perlu riset dan investigasi serius ala kan bung,negatif
kasus ditutup indonesiagelap,netral
biar lebih kuat tolong netizen tambah kolom di samping nilai yang dikorupsi kolom tuntutan jaksa dan kolom keputusan pengadilannya dari situ mungkin akan lebih kelihatan sepekat apa kegelapan indonesiagelap,negatif
berseliweran klasemen korupsi seperti ini emang ngaruh emang bisa cegah korupsi sebagai bukti indonesiagelap saja belum diterima presiden,negatif
kerusakan konstitusi hingga etika tanpa tersentuh indonesiagelap terusberisik lawanajadulu daruratindonesia revolusisampaiberhasil tolakdanantara shameonuprabowo adilijokowihargamati gibrankangsusu,netral
cara yang tolol untuk menutupi kejahatan dewan persekongkolan rampok indonesiagelap,negatif
rakyat cuma jadi sapi perah indonesiagelap terusberisik lawanajadulu daruratindonesia revolusisampaiberhasil tolakdanantara shameonuprabowo adilijokowihargamati gibrankangsusu,netral
jika kamu minder minumlah obat obatan berbahaya dijamin melihat orang seperti melihat kebun binatang indonesiagelap,negatif
yah paling nanti yang jadi dirut pertamina adalah ponakannya dia jangan terlalu heboh masalah kasus bbm ini sampai kasus pagar laut sampai danantara luput dari perhatian kita indonesiagelap,negatif
pik dan harusnya tetap jadi hutan lindung mana ada pembangunan yang berkelanjutan serta berwasan lingkungan di pik dan indonesiagelap tangkapdanadilimafiakkn pejabat indonesia rakus kkn hentikan kkn yang sebenarnya budaya palsu,negatif
kang kavling laut kaya juga ya bisa bayar cash m si mandul ga mampu nyeret dan kulik bos kang kapling lautkah daruratkorupsi indonesiagelap adilijokowidodo prabowomuridpatuhjokowi jokowipredatorkorup jokowipawangprabowo indonesiagelap batalakanpsnpik,negatif
ga percaya pertamaxpemerintahpertamina kan ni solusi kata mang hasan halaman rumah manfaatkan untuk ngebor dan kilang bbm pertamax sendiri kan ndasmu banget bro ide doi bangsat indonesiagelap ndasmu,negatif
yesss sepakat indonesiagelap,positif
hhmmmmmm selamat rehat gaes mohon maaf lahir batin ya mau puasa gaungkan terus indonesiagelap adilijokowidodo,negatif
yang jelas aku dan kamu telah tertipu tagar indonesiagelap,negatif
hasil pengeluaran kingkong di malam hari ini kamis result selamat kepada pemenang lotiongemoygg kamibersamasukatani indonesiagelap galaxywatchultra gaza,netral
disertasi sopir angkot oplosan menimbulkan huru hara atau keonaran publik itu bisa di pidana ya kan mangkanya kita wajib dukung bijak dalam mengangkat pembantunya agar tidak menjadi kendala dalam memakmurkan rakyat indonesiagelap daruratkorupsi,negatif
salut lihat pejabat yang baru takut melihat kubah biar gerakan nya lebih ringan gitu pak indonesiagelap indonesiagelap,negatif
indonesiagelap di akhir bulan his bowl my bowl,negatif
kapan ya area joglosemar ada spbu selain pertamina semenjak ada program barcode odongku gak bisa didaptarken sampai terpaksa pake petromax yang mbuh tenan mbuh ora kwaliteitnya itu direwangi ngirit malah telek mbokne kabeh wong nduwuran bangsa indonesiagelap,negatif
barangkali begini saja kita kita berdiri diam di depan istana dan bersolidaritas diantara puing patah hati dengan negara indonesiagelap,negatif
bikin semakin gelap indonesiagelap,negatif
mereka itu karyawan apa pemilik perusahaan punya skill apa sampai harus digaji segitu gilak rakyat sebagai pemilik makan tulang mereka yang pekerja makan daging konoha warbyasaa indonesiagelap,negatif
tapi kalo kesialan bertubitubi di negeri ini wajib salahin pemerintah tetep indonesiagelap,negatif
prabowo kan presiden ya punya semua perangkat mulai dari kepolisian kejaksaan sampai jadi bestinya kpk kalo yg dibui denda cuma kelas kades walau super kaya jangan koar nangkepin koruptor kakap untuk nangkep kades se level polsek bisa kali indonesiagelap,negatif
perusahaan dalam negeri akan diambil alih asing negara yang kasih indonesia hutang subsidi akan hilang semua harga pasti naik pendapatan indo lebih dari pajak bumn halah opo iku negara maju itu pajaknya harus semakin rendah bukan semakin tinggi indonesiagelap,negatif
hasil pengeluaran toto macau malam hari ini kamis result selamat kepada pemenang lotiongemoygg kamibersamasukatani indonesiagelap galaxywatchultra gaza,netral
mahasiswa gencar aksi indonesia gelap lanyalla ajak kembali ke pancasila agar terang lanyalla dpd indonesiagelap,netral
mulyono jangan pernah memperalat wowo sampai bu mega ente sendiri yang bikin rakyat resah jokowipredatorkorup jokowipawangprabowo praboworezimboneka fufufafaaibnasional indonesiagelap,netral
pemimpin pemimpin bangsa kalau sudah kumpul dan akrab begini kan jadinya adem tinggal kerja bareng untuk indonesiacerah yang semakin benderang sampai indonesiaemas yang masih merasa indonesiagelap ya biarin aja halu sendiri,negatif
indonesiagelap phk karyawan pabrik phk guru honorer sampai phk pegawai honorer semakin masif sementara pemerintah buta tuli menganggap indonesia baik saja lapangan kerja tidak kunjung disediakan masih ada asah dinegeri ini atau kaburajadulu,negatif
ternyata orang yang mikir indonesiagelap itu sebagai hinaan terhadap indonesia bukan pemerintahan itu sendiri ya,negatif
mari melawan kamerad indonesiagelap,negatif
negara ini makin hari makin susah pengangguran melonjak kemiskinan bertambah biaya pendidikan dan kesehatan semakin mahal tapi prabowo tidak peduli itu mereka di istana lagi asik bagi kue kekuasaan dan garong duit negara habis gelap terbitlah gelap indonesiagelap,negatif
yang pasti semua institusi penegak hukum di indonesia tidak ada yang berani membongkar kasus kasus besar yang terhubung dengan penguasa pemerintahan ri hanya rakyat yang bersatu yang bisa membongkar semuanya indonesiagelap,negatif
semakin lucu aja drama nya au ah indonesiagelap,positif
selamat datang di liga korupsi indonesia kaburajadulu gelapgempita sukatani indonesiagelap,netral
setiap hari ada aja gebrakannya negara ini lama lama kebongkar semua sudah kebobrokan bumn akhlak mana akhlak indonesiagelap,negatif
kayaknya kasus korupsi akhir ini masif dimunculkan buat penglihan isu indonesiagelap ketidakbecusan mbg danantara kemaren kejelekan polusi ga sih,negatif
lu kalo mau gila sendirian aja bila perlu gedung tuh lu ajak gila semua juga gak papa lagi pula gw golput gak pilih perwakilan dari parpol manapun dalam pemilu legislatif kemarin tapi kelakuan lu jangan menjijikkan gini ke rakyat indonesia indonesiagelap,negatif
dimana nuranimu indonesiagelap,negatif
prabowo datang sebagai pahlawan karena abis berantas korupsi di pt pt besar indonesiagelap,netral
matinya nurani indonesiagelap,negatif
tak hanya sekali bikin ribut masih terlalu muda dijadikan dancuk komandan pucuk di daerah mestinya anak ini diperiksa masih terlalu muda tengil pula ribut tapi ini bukan tentang wajan indonesiagelap,negatif
tni manunggal rakyat indonesiagelap,positif
pendapat saya pribadi ya ini feeling indonesia yang tercinta ini umurnya gak akan sampe tahun indonesiagelap indonesiagelap pertaminasarangkoruptor pertamaxoplosan,negatif
menipu rakyat indonesiagelap,negatif
kotoran aja dimakan mereka kok jadi wajarlah dibilang terang indonesiagelap,negatif
indonesia tanah air siapa indonesia tanah air siapa katanya tanah air beta indonesia sejak dulu kala janjinya rakyat sejahtera petani dirampas sawahnya nelayan dipagar lautnya buruh murah miskin dan sengsara hingga akhir menutup mata indonesiagelap,negatif
dari taukenya lah enteng itu indonesiagelap,negatif
realita mungkin akan lebih parah kalo kebuka semua yang ada di indo over all pak prabowo masi nepati janjinya membuka semua tapi belum semua ya mungkin kedepan banyak kaget indonesiagelap indonesia,negatif
